objectid,nuts318cd,nuts318nm,GDHI_2010,GDHI_2011,GDHI_2012,GDHI_2013,GDHI_2014,GDHI_2015,GDHI_2016,GDHI_2017,GDHI_2018,Growth_2010,Growth_2011,Growth_2012,Growth_2013,Growth_2014,Growth_2015,Growth_2016,Growth_2017,Growth_2018
119,UKJ44,East Kent,7707,7953,8312,8653,8953,9397,9648,9966,10386,2.7,3.2,4.5,4.1,3.5,5,2.7,3.3,4.2
120,UKJ45,Mid Kent,4887,4988,5217,5478,5672,5907,6108,6355,6642,2.1,2.1,4.6,5,3.5,4.1,3.4,4,4.5
121,UKJ46,West Kent,7585,7722,8068,8444,8796,9399,9484,9755,10201,1.7,1.8,4.5,4.7,4.2,6.9,0.9,2.9,4.6
122,UKK11,"Bristol, City of",6427,6670,6849,7174,7524,8005,8333,8671,9125,3.8,3.8,2.7,4.7,4.9,6.4,4.1,4.1,5.2
123,UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",11165,11476,11935,12508,13035,14030,14176,14599,15581,2.1,2.8,4,4.8,4.2,7.6,1,3,6.7
124,UKK13,Gloucestershire,10504,10744,11118,11655,12342,12904,13083,13481,14289,2.3,2.3,3.5,4.8,5.9,4.5,1.4,3,6
125,UKK14,Swindon,3311,3413,3532,3653,3829,3979,4096,4211,4396,0.6,3.1,3.5,3.4,4.8,3.9,3,2.8,4.4
126,UKK15,Wiltshire,8226,8494,8776,9226,9620,10073,10205,10507,11217,2.5,3.3,3.3,5.1,4.3,4.7,1.3,3,6.8
127,UKK21,Bournemouth and Poole,5445,5628,5798,6056,6238,6620,6696,6914,7376,4,3.4,3,4.5,3,6.1,1.1,3.3,6.7
128,UKK22,Dorset CC,7363,7630,7852,8137,8459,8790,8860,9143,9709,3.3,3.6,2.9,3.6,4,3.9,0.8,3.2,6.2
129,UKK23,Somerset,8875,9096,9309,9573,10012,10414,10495,10859,11435,3.8,2.5,2.3,2.8,4.6,4,0.8,3.5,5.3
130,UKK30,Cornwall and Isles of Scilly,8140,8406,8683,8882,9155,9499,9778,10126,10550,3.4,3.3,3.3,2.3,3.1,3.8,2.9,3.6,4.2
131,UKK41,Plymouth,3582,3661,3725,3829,3958,4091,4124,4345,4619,5.3,2.2,1.7,2.8,3.4,3.4,0.8,5.4,6.3
132,UKK42,Torbay,1994,2020,2080,2153,2244,2294,2356,2440,2500,2,1.3,3,3.5,4.3,2.2,2.7,3.6,2.5
133,UKK43,Devon CC,12461,12651,13128,13635,14078,14782,14991,15403,16273,0.5,1.5,3.8,3.9,3.2,5,1.4,2.7,5.6
134,UKL11,Isle of Anglesey,1020,1050,1078,1112,1127,1153,1154,1185,1232,2.3,2.9,2.7,3.2,1.4,2.3,0,2.7,4
135,UKL12,Gwynedd,1648,1671,1717,1749,1805,1865,1867,1914,2018,2.3,1.4,2.7,1.9,3.2,3.3,0.1,2.5,5.4
136,UKL13,Conwy and Denbighshire,3091,3203,3315,3353,3449,3520,3504,3587,3734,1.5,3.6,3.5,1.1,2.9,2.1,-0.5,2.4,4.1
137,UKL14,South West Wales,5370,5537,5765,5850,5980,6101,6096,6280,6541,2.5,3.1,4.1,1.5,2.2,2,-0.1,3,4.2
138,UKL15,Central Valleys,3752,3790,3932,4017,4115,4248,4294,4481,4744,2.2,1,3.8,2.2,2.4,3.2,1.1,4.4,5.9
139,UKL16,Gwent Valleys,4280,4448,4642,4739,4813,4990,5073,5192,5358,2.1,3.9,4.4,2.1,1.6,3.7,1.7,2.3,3.2
140,UKL17,Bridgend and Neath Port Talbot,3801,3826,3990,4107,4223,4357,4378,4527,4782,1.4,0.7,4.3,2.9,2.8,3.2,0.5,3.4,5.6
141,UKL18,Swansea,3248,3279,3404,3436,3628,3696,3659,3714,3883,-1,1,3.8,0.9,5.6,1.9,-1,1.5,4.6
142,UKL21,Monmouthshire and Newport,3559,3703,3851,3872,4036,4184,4266,4446,4676,2.1,4,4,0.5,4.2,3.7,2,4.2,5.2
143,UKL22,Cardiff and Vale of Glamorgan,7025,7185,7359,7473,7727,8022,8051,8398,8782,2.7,2.3,2.4,1.6,3.4,3.8,0.4,4.3,4.6
144,UKL23,Flintshire and Wrexham,4126,4288,4421,4555,4723,4919,4973,5188,5496,2.8,3.9,3.1,3,3.7,4.2,1.1,4.3,5.9
145,UKL24,Powys,2020,2053,2120,2135,2173,2211,2203,2298,2423,3.9,1.6,3.3,0.7,1.8,1.8,-0.4,4.3,5.5
